Height	B.Reward	Coin Emitted	Emission(%)	Days	Years
0000000	6600000.00000000	6600000.0	07.43	0000	0.0
0131490	18.22000000	8703842.22	09.79	0182	0.5
0262980	20.98000000	11099592.78	12.49	0365	1.0
0394470	24.29000000	13858256.29	15.59	0547	1.5
0525960	28.14000000	17052152.24	19.18	0730	2.0
0657450	32.53000000	20752285.23	23.35	0913	2.5
0788940	37.46000000	25029659.86	28.16	1095	3.0
0920430	42.94000000	29955280.74	33.70	1278	3.5
1051920	48.96000000	35601467.36	40.05	1461	4.0
1183410	44.67000000	42039213.47	47.29	1643	4.5
1314900	39.07000000	47912866.17	53.90	1826	5.0
1446390	34.17000000	53050175.57	59.68	2008	5.5
1577880	29.89000000	57543184.59	64.74	2191	6.0
1709370	26.14000000	61473416.94	69.16	2374	6.5
1840860	22.86000000	64910562.26	73.02	2556	7.0
1972350	20.00000000	67916420.8	76.41	2739	7.5
2103840	17.49000000	70546218.29	79.36	2922	8.0
2235330	15.29000000	72845976.19	81.95	3104	8.5
2366820	13.38000000	74856456.38	84.21	3287	9.0
2498310	11.70000000	76615790.9	86.19	3469	9.5
2629800	10.23000000	78154222.43	87.92	3652	10.0
2761290	8.95000000	79499363.85	89.44	3835	10.5
2892780	7.83000000	80676198.23	90.76	4017	11.0
3024270	6.85000000	81705763.95	91.92	4200	11.5
3155760	5.99000000	82606469.59	92.93	4383	12.0
3287250	5.24000000	83394093.94	93.82	4565	12.5
3418740	4.58000000	84083100.88	94.59	4748	13.0
3550230	4.00000000	84685324.5	95.27	4930	13.5
3681720	3.50000000	85211284.0	95.86	5113	14.0
3813210	3.06000000	85671498.56	96.38	5296	14.5
3944700	2.68000000	86073857.58	96.83	5478	15.0
4076190	2.34000000	86426250.44	97.23	5661	15.5
4207680	2.05000000	86733936.75	97.58	5844	16.0
4339170	2.00000000	87003491.2	97.88	6026	16.5
4470660	2.00000000	87266471.2	98.17	6209	17.0
4602150	2.00000000	87529451.2	98.47	6391	17.5
4733640	2.00000000	87792431.2	98.77	6574	18.0
4865130	2.00000000	88055411.2	99.06	6757	18.5
4996620	2.00000000	88318391.2	99.36	6939	19.0
5128110	2.00000000	88581371.2	99.65	7122	19.5
5259600	2.00000000	88844351.2	99.95	7305	20.0
5281869	2.00000000	88888887.2	100.00	7335	20.08



Height	B.Reward	Coin Emitted	Emission(%)	Days	Years
0000000	6600000.00000000	6600000.0	07.43	0000	0.0
0262980	20.98000000	11099592.78	12.49	0365	1.0
0525960	28.14000000	17052152.24	19.18	0730	2.0
0788940	37.46000000	25029659.86	28.16	1095	3.0
1051920	48.96000000	35601467.36	40.05	1461	4.0
1314900	39.07000000	47912866.17	53.90	1826	5.0
1577880	29.89000000	57543184.59	64.74	2191	6.0
1840860	22.86000000	64910562.26	73.02	2556	7.0
2103840	17.49000000	70546218.29	79.36	2922	8.0
2366820	13.38000000	74856456.38	84.21	3287	9.0
2629800	10.23000000	78154222.43	87.92	3652	10.0
2892780	7.83000000	80676198.23	90.76	4017	11.0
3155760	5.99000000	82606469.59	92.93	4383	12.0
3418740	4.58000000	84083100.88	94.59	4748	13.0
3681720	3.50000000	85211284.0	95.86	5113	14.0
3944700	2.68000000	86073857.58	96.83	5478	15.0
4207680	2.05000000	86733936.75	97.58	5844	16.0
4470660	2.00000000	87266471.2	98.17	6209	17.0
4733640	2.00000000	87792431.2	98.77	6574	18.0
4996620	2.00000000	88318391.2	99.36	6939	19.0
5259600	2.00000000	88844351.2	99.95	7305	20.0
5281869	2.00000000	88888887.2	100.00	7335	20.08
